name,wmo-id,bom-id,tz,stn-name,stn-height,type,lat,lon,forecast-district-id,description,apparent_temp,delta_t,gust_kmh,wind_gust_spd,air_temperature,dew_point,pres,msl_pres,qnh_pres,rel-humidity,vis_km,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd,rainfall,rainfall_24hr,maximum_air_temperature,minimum_air_temperature,maximum_gust_spd,maximum_gust_kmh,maximum_gust_dir,cloud,cloud_oktas,cloud_base_m,cloud_type_id,weather,rain_hour,rain_ten
units,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Celsius,Celsius,km/h,knots,Celsius,Celsius,hPa,hPa,hPa,%,km,nan,deg,km/h,knots,mm,mm,Celsius,Celsius,knots,km/h,nan,nan,nan,m,nan,nan,mm,mm
REDESDALE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),17.3,9.9,33.0,18.0,24.2,4.5,,,,28.0,,S,191.0,30.0,16.0,0.0,0.0,24.8,6.2,23.0,43.0,S,,,,,,,
RHYLL,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.3,6.3,13.0,7.0,20.4,8.4,1017.7,1017.7,,46.0,,S,176.0,9.0,5.0,0.0,0.2,21.2,11.0,10.0,19.0,SSE,,,,,,,
RUTHERGLEN RESEARCH,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),25.6,12.1,15.0,8.0,28.4,5.3,,,,23.0,,SE,137.0,9.0,5.0,0.0,0.0,29.4,6.9,14.0,26.0,SW,,,,,,,
SCORESBY RESEARCH INSTITUTE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),19.6,4.7,20.0,11.0,21.4,13.3,,,,60.0,,SE,139.0,15.0,8.0,0.0,0.0,21.8,5.6,16.0,30.0,SSE,,,,,,,
SHEOAKS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.8,6.9,7.0,4.0,20.6,7.2,1016.3,1016.3,,42.0,,SSE,165.0,6.0,3.0,0.0,0.0,22.5,3.8,15.0,28.0,S,,,,,,,
SHEPPARTON AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),19.8,12.3,28.0,15.0,26.3,0.1,1013.1,1013.1,1013.4,18.0,72.0,SE,143.0,24.0,13.0,0.0,0.0,28.0,9.9,23.0,43.0,SSE,Clear,0.0,,,,,
SOUTH CHANNEL ISLAND,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,,30.0,16.0,,,,,,,,S,178.0,28.0,15.0,,,,,16.0,30.0,S,,,,,,,
ST KILDA HARBOUR - RMYS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,,26.0,14.0,,,,,,,,SSW,196.0,24.0,13.0,,,,,16.0,30.0,SSW,,,,,,,
STAWELL AERODROME,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),17.5,8.8,33.0,18.0,23.6,6.8,1015.7,1015.7,1015.4,34.0,,S,176.0,28.0,15.0,0.0,0.0,24.0,4.8,24.0,44.0,SSE,,,,,,,
STRATHBOGIE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),21.0,9.1,,,23.6,6.3,,,,32.0,25.0,NNE,20.0,9.0,5.0,0.0,0.0,,,,,,Mostly clear,2.0,,,Fine,,
SWAN HILL AERODROME,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),20.2,12.0,30.0,16.0,26.8,2.0,1013.9,1013.9,1014.2,20.0,73.0,S,182.0,26.0,14.0,0.0,0.0,28.0,9.5,22.0,41.0,SSW,Clear,0.0,,,,,
TATURA INST SUSTAINABLE AG,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.8,9.9,30.0,16.0,24.5,4.8,,,,28.0,,SSW,194.0,24.0,13.0,0.0,0.0,24.7,9.0,21.0,39.0,S,,,,,,,
VIEWBANK,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),20.2,7.1,15.0,8.0,22.4,9.2,1016.3,1016.3,1016.4,43.0,,S,191.0,11.0,6.0,0.0,0.0,22.7,7.8,16.0,30.0,SSW,,,,,,,
WALPEUP RESEARCH,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),21.7,11.1,26.0,14.0,26.5,4.8,,,,25.0,,SSW,200.0,19.0,10.0,0.0,0.0,27.5,7.9,19.0,35.0,SSW,,,,,,,
WANGARATTA AERO,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),23.8,12.2,13.0,7.0,27.1,2.2,1011.6,1011.6,1012.1,20.0,64.0,SSE,162.0,9.0,5.0,0.0,0.0,27.9,9.4,14.0,26.0,SSW,Clear,0.0,,,,,
WARRACKNABEAL AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.8,9.8,37.0,20.0,25.3,6.5,1015.1,1015.1,1015.4,30.0,,SSW,205.0,30.0,16.0,0.0,0.0,26.9,5.8,24.0,44.0,SSW,,,,,,,
